product_code,price,update_time,remark,alert_threshold,good_price,link
B07573632C,19490,,normal,1000,628,https://www.amazon.co.jp/gp/offer-listing/B07573632C
B01545GQ9O,8900,,normal,1000,636,https://www.amazon.co.jp/gp/offer-listing/B01545GQ9O
B01545GL76,12000,,small,1000,636,https://www.amazon.co.jp/gp/offer-listing/B01545GL76
B01HNYW2UG,18524,,kids,1000,749,https://www.amazon.co.jp/gp/offer-listing/B01HNYW2UG
B0756WRGQC,3480,,large,1500,990,https://www.amazon.co.jp/gp/offer-listing/B0756WRGQC
B016DCAOOA,35500,,normal,2000,1609/1605,https://www.amazon.co.jp/gp/offer-listing/B016DCAOOA
B016DCAOZY,30000,,small,2000,1632,https://www.amazon.co.jp/gp/offer-listing/B016DCAOZY
B016DCAOQI,25500,,kids,2000,1732,https://www.amazon.co.jp/gp/offer-listing/B016DCAOQI
B075MWTSMJ,11000,,normal,1500,1375/1376,https://www.amazon.co.jp/gp/offer-listing/B075MWTSMJ
B075MX4TB5,8200,,small,1500,1375/1376,https://www.amazon.co.jp/gp/offer-listing/B075MX4TB5
